dataset;method;preprocessing;n_neighbors;subset;score
Iemocap;first_try;standardized;31;train;0.6038700255567725
Iemocap;first_try;standardized;32;train;0.6042351223074115
Iemocap;first_try;standardized;33;train;0.600036509675064
Iemocap;first_try;standardized;34;train;0.6011317999269806
Iemocap;first_try;standardized;35;train;0.5985761226725083
Iemocap;first_try;standardized;36;train;0.5987586710478277
Iemocap;first_try;standardized;37;train;0.595290251916758
Iemocap;first_try;standardized;38;train;0.5943775100401606
Iemocap;first_try;standardized;39;train;0.5940124132895217
Iemocap;first_try;standardized;40;train;0.5951077035414385
Iemocap;first_try;standardized;41;train;0.594925155166119
Iemocap;first_try;standardized;42;train;0.5954728002920774
Iemocap;first_try;standardized;43;train;0.5945600584154801
Iemocap;first_try;standardized;44;train;0.5927345746622855
Iemocap;first_try;standardized;45;train;0.5910916392844103
Iemocap;first_try;standardized;46;train;0.5914567360350493
Iemocap;first_try;standardized;47;train;0.5909090909090909
Iemocap;first_try;standardized;48;train;0.5889010587805769
Iemocap;first_try;standardized;49;train;0.5874406717780212
Iemocap;first_try;standardized;50;train;0.588535962029938
Iemocap;first_try;standardized;51;train;0.5890836071558964
Iemocap;first_try;standardized;52;train;0.5892661555312158
Iemocap;first_try;standardized;53;train;0.588170865279299
Iemocap;first_try;standardized;54;train;0.5870755750273823
Iemocap;first_try;standardized;55;train;0.5874406717780212
Iemocap;first_try;standardized;56;train;0.5872581234027017
Iemocap;first_try;standardized;57;train;0.586162833150785
Iemocap;first_try;standardized;58;train;0.586162833150785
Iemocap;first_try;standardized;59;train;0.5863453815261044
Iemocap;first_try;standardized;60;train;0.5848849945235487
Iemocap;first_try;standardized;61;train;0.5865279299014239
Iemocap;first_try;standardized;62;train;0.5867104782767434
Iemocap;first_try;standardized;63;train;0.586162833150785
Iemocap;first_try;standardized;64;train;0.5865279299014239
Iemocap;first_try;standardized;65;train;0.5848849945235487
Iemocap;first_try;standardized;66;train;0.5841548010222709
Iemocap;first_try;standardized;67;train;0.5825118656443957
Iemocap;first_try;standardized;68;train;0.583789704271632
Iemocap;first_try;standardized;69;train;0.5825118656443957
Iemocap;first_try;standardized;70;train;0.5819642205184374
Iemocap;first_try;standardized;71;train;0.5817816721431179
Iemocap;first_try;standardized;72;train;0.5812340270171595
Iemocap;first_try;standardized;73;train;0.5790434465133261
Iemocap;first_try;standardized;74;train;0.5783132530120482
Iemocap;first_try;standardized;75;train;0.5788608981380066
Iemocap;binary;raw;2;train;0.7592186929536328
Iemocap;binary;raw;3;train;0.7723621759766338
Iemocap;binary;raw;4;train;0.7119386637458927
Iemocap;binary;raw;5;train;0.7152245345016429
Iemocap;binary;raw;6;train;0.6863818912011683
Iemocap;binary;raw;7;train;0.6858342460752099
Iemocap;binary;raw;8;train;0.6699525374224169
Iemocap;binary;raw;9;train;0.6721431179262505
Iemocap;binary;raw;10;train;0.6573566995253742
Iemocap;binary;raw;11;train;0.6613727637824023
Iemocap;binary;raw;12;train;0.6511500547645126
Iemocap;binary;raw;13;train;0.6504198612632348
Iemocap;binary;raw;14;train;0.6447608616283315
Iemocap;binary;raw;15;train;0.6403797006206645
Iemocap;binary;raw;16;train;0.6385542168674698
Iemocap;binary;raw;17;train;0.6398320554947061
Iemocap;binary;raw;18;train;0.6359985396129975
Iemocap;binary;raw;19;train;0.6370938298649143
Iemocap;binary;raw;20;train;0.628696604600219
Iemocap;binary;raw;21;train;0.6296093464768163
Iemocap;binary;raw;22;train;0.6254107338444688
Iemocap;binary;raw;23;train;0.624315443592552
Iemocap;binary;raw;24;train;0.6215772179627601
Iemocap;binary;raw;25;train;0.6239503468419131
Iemocap;binary;raw;26;train;0.6206644760861628
Iemocap;binary;raw;27;train;0.6213946695874407
Iemocap;binary;raw;28;train;0.6204819277108434
Iemocap;binary;raw;29;train;0.6219423147133989
Iemocap;binary;raw;30;train;0.619569185834246
Iemocap;binary;raw;31;train;0.6202993793355239
Iemocap;binary;raw;32;train;0.6157356699525374
Iemocap;binary;raw;33;train;0.6151880248265791
Iemocap;binary;raw;34;train;0.6140927345746623
Iemocap;binary;raw;35;train;0.6135450894487039
Iemocap;binary;raw;36;train;0.6129974443227455
Iemocap;binary;raw;37;train;0.6159182183278569
Iemocap;binary;raw;38;train;0.6113545089448704
Iemocap;binary;raw;39;train;0.6140927345746623
Iemocap;binary;raw;40;train;0.6102592186929536
Iemocap;binary;raw;41;train;0.6137276378240234
Iemocap;binary;raw;42;train;0.6124497991967871
Iemocap;binary;raw;43;train;0.6133625410733844
Iemocap;binary;raw;44;train;0.6089813800657174
Iemocap;binary;raw;45;train;0.6137276378240234
Iemocap;binary;raw;46;train;0.6106243154435925
Iemocap;binary;raw;47;train;0.6120847024461482
Iemocap;binary;raw;48;train;0.6067907995618839
Iemocap;binary;raw;49;train;0.6097115735669952
Iemocap;binary;raw;50;train;0.6078860898138007
Iemocap;binary;raw;51;train;0.6098941219423147
Iemocap;binary;raw;52;train;0.6077035414384812
Iemocap;binary;raw;53;train;0.6073384446878423
